,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,group
2020-05-06,1023,782,811,602,903,963,947,1715,2059,2772,3823,4046,4180,3685,3869,3912,2958,2087,2157,1186,986,1107,903,1254,1
2020-05-07,664,359,312,356,446,723,1269,2502,3586,3585,3951,4729,4582,4396,3961,3711,4097,3948,3171,1835,1254,1162,1200,1254,1
2020-05-08,723,927,770,700,653,959,1545,2293,2929,3534,4522,5457,5453,5501,4453,4675,4577,4630,3612,2071,1554,1602,885,1529,1
2020-05-09,1314,1138,1271,659,533,992,1721,2507,2899,3052,4352,4692,4668,5134,4939,4271,3996,3676,2603,1529,1201,1078,1408,1337,1
2020-05-10,1603,668,388,417,459,724,1147,1758,2125,3020,3445,3838,3237,3959,3083,2765,2575,2311,1582,1494,1271,1265,1125,1112,1
2020-05-11,530,773,436,359,455,798,1444,2375,2584,2750,1985,1933,1493,1288,919,1085,2800,3567,2862,1931,1199,988,1172,1294,1
2020-05-12,896,583,714,524,734,1062,1615,2672,2919,3238,2513,3291,3237,1945,1175,1555,3026,3761,2628,1788,1377,1153,877,1028,1
2020-05-13,559,503,407,408,515,880,1429,2552,2825,2887,3884,3652,2154,1885,2044,1665,2330,3433,2540,1809,1264,998,754,602,1
2020-05-14,547,426,492,359,606,833,1103,2299,3057,4206,4485,5273,5120,4924,5284,4926,3336,4521,2580,1782,1421,1056,894,946,1
2020-05-15,837,507,457,379,436,846,1431,2664,3403,3765,4910,4939,4375,4656,4934,4404,4045,4655,3099,1819,1900,1088,939,1208,1
2020-05-16,1000,1183,518,454,532,564,987,1942,2138,3042,3452,4340,3470,3480,4909,3185,2700,3177,2314,2134,1960,2206,1727,1311,1
2020-05-17,994,1007,1128,1022,1251,1028,1296,1994,2918,3868,5006,7299,5634,5681,5637,4410,4132,3775,2405,2264,1807,1330,1050,1284,1
2020-05-18,1599,1568,771,409,463,768,1169,2481,3031,3454,5209,4801,4600,4267,4040,3381,3390,4002,2628,2062,1254,925,1111,816,1
2020-05-19,507,423,421,648,492,578,1022,1876,2654,2999,4908,4064,4179,4422,4361,3723,3925,3662,2928,2033,1220,927,1039,1025,1
2020-05-20,997,744,728,486,513,720,1349,2635,3338,4156,4808,5358,5403,5225,4401,4757,3788,4666,3214,2004,1551,1491,1206,1093,1
